name,mos
ARKSuvivalEvolved-001,68.71447486
AgeEmpires-001,55.35293472
AgeEmpires-004,80.04556844
AgeEmpires-005,68.27579275
AgeEmpires-006,81.0831136
AnimalCrossing-006,86.6480577
AnimalCrossing-007,90.81265425
AnimalCrossing-008,95.9543135
AnimalCrossing-010,62.6641094
AnimalCrossing-015,83.88521648
AnimalCrossing-017,79.19158135
AnimalCrossing-018,80.76407449
ApexLegends-001,55.63511451
ApexLegends-002,62.88179713
ApexLegends-004,50.70996543
ApexLegends-005,64.41769378
ApexLegends-006,38.4645166
ApexLegends-007,74.3302988
ApexLegends-008,75.86381571
ApexLegends-009,86.19461336
ApexLegends-010,68.51755331
ApexLegends-011,70.61898839
ApexLegends-012,81.24967771
ApexLegends-013,80.5102943
AssassinCreed-001,51.74685034
AssassinCreed-011,54.85830725
AssassinCreed-012,52.17274965
AssassinCreed-013,63.99252912
AssassinCreed-014,56.99010447
AssassinCreed-015,59.18278961
AssassinCreed-016,55.58646792
CSGO-002,46.10837686
CSGO-003,65.25533759
CSGO-007,84.0749612
CSGO-008,84.61988692
CSGO-009,27.24119275
CSGO-010,32.94861413
CSGO-011,30.40333285
CSGO-015,83.09580365
CSGO-018,60.35415479
CSGO-019,67.73562295
CSGO-023,52.96994096
CSGO-026,42.90156929
CSGO-028,59.33467712
CSGO-029,64.99956717
CSGO-030,59.0773
CSGO-031,81.06775295
CSGO-032,51.49400811
CSGO-033,75.5057567
CSGO-034,33.59950658
CSGO-035,32.71395519
CSGO-036,34.12768589
CSGO-038,76.6805259
CSGO-043,69.76685641
CSGO-046,74.62327672
CSGO-047,67.62889713
CSGO-048,80.41417565
CSGO-050,72.18020725
CSGO-051,69.88913227
CSGO-055,76.74179281
CallofDuty-001,88.4775821
CallofDuty-002,85.05866182
CallofDuty-003,55.48541835
CallofDuty-004,53.73933066
CallofDuty-005,36.14413076
CallofDuty-006,51.08991671
CallofDuty-008,39.05431269
CallofDuty-009,36.13681413
CallofDuty-010,36.18805731
CallofDuty-011,36.77149944
CallofDuty-012,19.03096819
CallofDuty-013,73.98654876
CallofDuty-014,85.33591631
CallofDuty-015,62.40130949
CitiesSkylines-001,78.27599144
CitiesSkylines-008,72.85009129
Civilization-001,88.70411746
Civilization-006,79.6394216
Civilization-007,82.67664425
Civilization-010,69.32175127
Civilization-011,77.81132084
Civilization-015,74.12548506
Civilization-016,87.85622052
Civilization-017,81.47832205
Civilization-018,80.64892164
Civilization-019,85.97835768
Civilization-021,88.27778879
ClashClans-003,33.70685083
ClashClans-004,43.74228849
CodeVein-002,84.1927585
CodeVein-003,87.98685069
CodeVein-004,88.94879462
CodeVein-005,84.7863338
CodeVein-006,87.79015643
CodeVein-007,76.9505771
CodeVein-011,85.77868106
CodeVein-012,85.90452195
CodeVein-013,81.4212417
CodeVein-015,79.86085913
CodeVein-016,81.56583299
CodeVein-017,59.62262192
CodeVein-019,78.88304483
CrusaderKings-001,78.75557591
CultistSimulator-001,87.54175396
CultistSimulator-003,88.56971106
CultistSimulator-004,86.42067693
CultistSimulator-005,94.52690202
CultistSimulator-006,92.00888348
CultistSimulator-007,91.57198929
DOTA-001,46.1829379
DOTA-002,54.34987204
DOTA-003,59.75078837
DOTA-004,23.97915029
DOTA-005,18.53513461
DOTA-006,83.4568865
DarkSouls-001,66.9690624
DarkSouls-004,58.88986453
DarkSouls-005,75.67409565
DarkSouls-051,65.38637115
DarkSouls-054,62.68990537
DarkSouls-055,65.97278899
DarkSouls-062,70.84611659
DarkSouls-063,72.87770711
DarkSouls-071,57.44595826
DarkSouls-072,44.49292947
Diablo-001,69.28891044
Diablo-003,71.87152001
Diablo-004,85.8852922
Diablo-005,75.20333206
Diablo-006,68.06881827
ElderScrolls-002,33.18705779
ElderScrolls-003,49.65858233
ElderScrolls-004,52.26219557
FF-001,63.02855578
FF-002,79.04722795
FF-003,57.11394549
FF-004,62.34573764
FF-005,72.11647434
FF-007,63.82511093
