name,mos
Animation_1080P-05f8_crf_10_ss_00_t_20.0.mp4,3.901
Animation_1080P-0c4f_crf_10_ss_00_t_20.0.mp4,3.94
Animation_1080P-18f5_crf_10_ss_00_t_20.0.mp4,4.158
Animation_1080P-209f_crf_10_ss_00_t_20.0.mp4,4.189
Animation_1080P-21dd_crf_10_ss_00_t_20.0.mp4,3.791
Animation_1080P-2fbe_crf_10_ss_00_t_20.0.mp4,3.346
Animation_1080P-2fff_crf_10_ss_00_t_20.0.mp4,4.369
Animation_1080P-3d67_crf_10_ss_00_t_20.0.mp4,2.778
Animation_1080P-3dbf_crf_10_ss_00_t_20.0.mp4,4.444
Animation_1080P-3e01_crf_10_ss_00_t_20.0.mp4,4.045
Animation_1080P-4214_crf_10_ss_00_t_20.0.mp4,3.51
Animation_1080P-4be3_crf_10_ss_00_t_20.0.mp4,3.565
Animation_1080P-4ea8_crf_10_ss_00_t_20.0.mp4,4.121
Animation_1080P-5083_crf_10_ss_00_t_20.0.mp4,3.252
Animation_1080P-58d3_crf_10_ss_00_t_20.0.mp4,4.243
Animation_1080P-5dd8_crf_10_ss_00_t_20.0.mp4,3.958
Animation_1080P-646f_crf_10_ss_00_t_20.0.mp4,3.376
Animation_1080P-6a33_crf_10_ss_00_t_20.0.mp4,2.052
Animation_1080P-6ec0_crf_10_ss_00_t_20.0.mp4,4.124
Animation_2160P-41dc_crf_10_ss_00_t_20.0.mp4,3.512
Animation_2160P-6f3b_crf_10_ss_00_t_20.0.mp4,4.082
Animation_360P-08c9_crf_10_ss_00_t_20.0.mp4,3.652
Animation_360P-188f_crf_10_ss_00_t_20.0.mp4,3.702
Animation_360P-24d4_crf_10_ss_00_t_20.0.mp4,3.435
Animation_360P-3e40_crf_10_ss_00_t_20.0.mp4,2.353
Animation_360P-3e52_crf_10_ss_00_t_20.0.mp4,3.651
Animation_360P-47cc_crf_10_ss_00_t_20.0.mp4,3.282
Animation_360P-4b4c_crf_10_ss_00_t_20.0.mp4,3.003
Animation_360P-4edc_crf_10_ss_00_t_20.0.mp4,3.682
Animation_360P-5712_crf_10_ss_00_t_20.0.mp4,3.552
Animation_360P-5de0_crf_10_ss_00_t_20.0.mp4,3.429
Animation_360P-631c_crf_10_ss_00_t_20.0.mp4,2.236
Animation_360P-69e0_crf_10_ss_00_t_20.0.mp4,3.382
Animation_360P-7856_crf_10_ss_00_t_20.0.mp4,2.751
Animation_360P-794f_crf_10_ss_00_t_20.0.mp4,3.362
Animation_480P-046c_crf_10_ss_00_t_20.0.mp4,3.15
Animation_480P-073c_crf_10_ss_00_t_20.0.mp4,3.407
Animation_480P-087e_crf_10_ss_00_t_20.0.mp4,3.525
Animation_480P-08a5_crf_10_ss_00_t_20.0.mp4,3.42
Animation_480P-0d04_crf_10_ss_00_t_20.0.mp4,3.111
Animation_480P-1da7_crf_10_ss_00_t_20.0.mp4,3.183
Animation_480P-35ee_crf_10_ss_00_t_20.0.mp4,3.29
Animation_480P-3fdf_crf_10_ss_00_t_20.0.mp4,3.465
Animation_480P-4b86_crf_10_ss_00_t_20.0.mp4,3.495
Animation_480P-4e36_crf_10_ss_00_t_20.0.mp4,3.303
Animation_480P-52af_crf_10_ss_00_t_20.0.mp4,3.656
Animation_480P-66c0_crf_10_ss_00_t_20.0.mp4,3.453
Animation_480P-6e23_crf_10_ss_00_t_20.0.mp4,3.731
Animation_480P-6ef6_crf_10_ss_00_t_20.0.mp4,3.607
Animation_480P-70d4_crf_10_ss_00_t_20.0.mp4,3.848
Animation_480P-791b_crf_10_ss_00_t_20.0.mp4,3.286
Animation_480P-7a31_crf_10_ss_00_t_20.0.mp4,3.487
Animation_480P-7ef2_crf_10_ss_00_t_20.0.mp4,3.164
Animation_720P-0116_crf_10_ss_00_t_20.0.mp4,4.054
Animation_720P-01b3_crf_10_ss_00_t_20.0.mp4,3.638
Animation_720P-06a6_crf_10_ss_00_t_20.0.mp4,3.942
Animation_720P-0acc_crf_10_ss_00_t_20.0.mp4,3.876
Animation_720P-13b7_crf_10_ss_00_t_20.0.mp4,4.318
Animation_720P-1a6d_crf_10_ss_00_t_20.0.mp4,4.283
Animation_720P-2525_crf_10_ss_00_t_20.0.mp4,3.73
Animation_720P-2abf_crf_10_ss_00_t_20.0.mp4,3.615
